City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
221,kismayo,-0.3582,42.5454,26.89,74,53,8.01,SO,2024-06-10
222,boguchany,58.3814,97.4531,22.9,43,22,1.49,RU,2024-06-10
223,sebeta,8.9167,38.6167,15.02,66,69,1.01,ET,2024-06-10
224,fisterra,42.9049,-9.2629,14.3,71,0,7.39,ES,2024-06-10
225,takoradi,4.8845,-1.7554,25.4,87,98,5.24,GH,2024-06-10
226,kavieng,-2.5744,150.7967,29.78,71,99,3.64,PG,2024-06-10
227,tanhacu,-14.0214,-41.2481,18.06,94,15,1.3,BR,2024-06-10
228,bonthe,7.5264,-12.505,25.53,88,98,1.69,SL,2024-06-10
229,villanueva,15.3167,-88.0,26.55,83,40,1.54,HN,2024-06-10
230,happy valley-goose bay,53.3168,-60.3315,12.17,76,75,5.14,CA,2024-06-10
231,krasnyy chikoy,50.3643,108.7512,18.59,73,92,3.07,RU,2024-06-10
232,medicine hat,50.0501,-110.6683,18.25,48,75,2.57,CA,2024-06-10
233,lompoc,34.6391,-120.4579,14.45,88,100,3.09,US,2024-06-10
234,katsuura,35.1333,140.3,23.22,71,54,4.4,JP,2024-06-10
235,tieli,46.95,128.05,23.37,66,98,1.72,CN,2024-06-10
236,nguigmi,14.2495,13.1092,28.34,53,79,4.9,NE,2024-06-10
237,vernon,50.2581,-119.2691,21.74,37,69,0.51,CA,2024-06-10
238,victoriaville,46.0501,-71.9658,13.6,89,100,0.89,CA,2024-06-10
239,akureyri,65.6835,-18.0878,3.96,93,100,2.06,IS,2024-06-10
240,nieuw amsterdam,5.8833,-55.0833,26.09,88,92,2.46,SR,2024-06-10
241,ljungby,56.8332,13.9408,11.45,76,100,1.57,SE,2024-06-10
242,vadso,70.0744,29.7487,6.09,87,100,3.09,NO,2024-06-10
243,kone,-21.0595,164.8658,22.78,78,85,2.52,NC,2024-06-10
244,nelidovo,56.2211,32.7774,15.31,99,100,1.88,RU,2024-06-10
245,kalmunai,7.4167,81.8167,31.57,58,98,0.79,LK,2024-06-10
246,konarka,19.9,86.1167,33.22,66,67,7.27,IN,2024-06-10
247,ouricuri,-7.8825,-40.0817,19.74,92,11,2.34,BR,2024-06-10
248,gambiran satu,-8.3939,114.1464,26.28,87,99,0.56,ID,2024-06-10
249,dailekh,28.8333,81.6667,36.98,10,76,3.05,NP,2024-06-10
250,dicle,38.3751,40.0722,21.42,53,0,3.21,TR,2024-06-10
251,at taj,24.2049,23.2857,27.63,17,0,3.3,LY,2024-06-10
252,tura,25.5198,90.2201,31.05,70,20,3.31,IN,2024-06-10
253,shache,38.4167,77.2406,31.16,18,35,2.85,CN,2024-06-10
254,altay,47.8667,88.1167,27.29,32,60,4.91,CN,2024-06-10
255,mazatan,14.8667,-92.45,24.62,94,100,4.09,MX,2024-06-10
256,barah,13.7,30.3667,30.31,49,87,3.3,SD,2024-06-10
257,south hedland,-20.4089,118.5983,27.96,26,2,5.66,AU,2024-06-10
258,puning,23.3107,116.1687,32.55,63,67,5.54,CN,2024-06-10
259,charo,19.75,-101.05,19.91,55,71,0.74,MX,2024-06-10
260,constitucion,-35.3333,-72.4167,12.95,93,100,8.81,CL,2024-06-10
261,alofi,-19.0595,-169.9187,24.94,69,20,4.12,NU,2024-06-10
262,pelabuhanratu,-6.9875,106.5514,28.95,81,34,2.26,ID,2024-06-10
263,reggane,26.7158,0.1714,33.19,15,0,6.64,DZ,2024-06-10
264,luang prabang,19.8856,102.1347,34.26,52,95,1.03,LA,2024-06-10
265,ribeira grande,38.5167,-28.7,18.21,84,83,3.13,PT,2024-06-10
266,muborak,39.2553,65.1528,37.87,12,0,4.23,UZ,2024-06-10
267,lyubinskiy,55.1542,72.6925,16.82,94,100,6.91,RU,2024-06-10
268,margarita belen,-27.2616,-58.9722,22.79,73,0,2.15,AR,2024-06-10
269,palikir - national government center,6.9248,158.1611,31.47,74,100,4.63,FM,2024-06-10
270,chibougamau,49.9168,-74.3659,10.79,87,100,2.57,CA,2024-06-10
271,salalah,17.0151,54.0924,31.05,79,40,1.54,OM,2024-06-10
272,tazovsky,67.4667,78.7,16.74,57,83,5.95,RU,2024-06-10
273,faya-largeau,17.9257,19.1043,30.64,47,72,3.04,TD,2024-06-10
274,constantia,44.1833,28.65,23.38,77,64,5.51,RO,2024-06-10
275,midvagur,62.0511,-7.1939,4.46,87,100,5.66,FO,2024-06-10
276,el calafate,-50.3408,-72.2768,0.55,98,100,0.77,AR,2024-06-10
277,terrace,54.5163,-128.6035,12.95,76,100,3.6,CA,2024-06-10
278,sinabang,2.4803,96.3801,28.78,76,96,0.57,ID,2024-06-10
279,ambon,-3.6954,128.1814,27.71,95,40,2.57,ID,2024-06-10
280,bredasdorp,-34.5322,20.0403,14.71,47,100,3.29,ZA,2024-06-10
281,doffing,26.2745,-98.3858,29.75,84,0,3.09,US,2024-06-10
282,batang berjuntai,3.3833,101.4167,34.03,60,50,1.92,MY,2024-06-10
283,aral,40.5156,81.2636,32.73,16,3,3.38,CN,2024-06-10
284,salym,60.0625,71.4789,16.17,67,100,2.55,RU,2024-06-10
285,canto do buriti,-8.11,-42.9444,20.61,63,12,1.71,BR,2024-06-10
286,kununurra,-15.7667,128.7333,29.99,28,53,3.6,AU,2024-06-10
287,hizan,38.2257,42.4278,19.15,55,6,2.33,TR,2024-06-10
288,miquelon,47.0975,-56.3814,7.0,98,40,6.92,PM,2024-06-10
289,amphoe sikhiu,14.8994,101.7083,30.35,65,100,6.81,TH,2024-06-10
290,bela,25.9333,81.9833,44.2,11,42,4.41,IN,2024-06-10
291,el naranjo,21.4667,-98.6,25.91,85,5,0.81,MX,2024-06-10
292,mkushi,-13.6202,29.3939,9.9,89,7,4.59,ZM,2024-06-10
293,san antonio de pale,-1.4014,5.6325,25.13,81,100,2.78,GQ,2024-06-10
294,arraial do cabo,-22.9661,-42.0278,22.24,74,7,1.91,BR,2024-06-10
295,edd,13.9297,41.6925,33.84,47,15,4.23,ER,2024-06-10
296,sydney,-33.8679,151.2073,17.95,58,0,4.63,AU,2024-06-10
297,lethem,3.3803,-59.7968,24.07,91,100,2.4,GY,2024-06-10
298,san andres,12.5847,-81.7006,29.01,84,20,2.06,CO,2024-06-10
299,hilo,19.7297,-155.09,24.85,89,100,4.12,US,2024-06-10
