City_ID,City,Country,Lat,Lng,Humidity,Hotel Name
373,nishinoomote,JP,30.7333,131.0,94,ゼウスハウス
377,buritis,BR,-15.6178,-46.4233,64,No hotel found
379,birjand,IR,32.8663,59.2211,11,مهمانسرای جهانگردی بیرجند
380,antonio enes,MZ,-16.2325,39.9086,81,Hotel Quirimbas
383,bikenibeu village,KI,1.3673,173.1241,79,Otintaai Hotel
384,khamis mushait,SA,18.3064,42.7292,53,No hotel found
385,dickinson,US,29.4608,-95.0513,85,Days Inn by Wyndham Dickinson TX
386,dul'durga,RU,50.6761,113.5931,39,No hotel found
392,sao tome,ST,0.3365,6.7273,82,Hotel Baia
394,myrina,GR,39.8797,25.0742,68,Ήφαιστος
397,rabaul,PG,-4.1967,152.1721,76,Rabaul Hotel
402,manfalut,EG,27.3104,30.97,37,No hotel found
404,xiaoshi,CN,41.2971,124.1209,45,good and cheap
405,chernyshevskiy,RU,63.0128,112.4714,25,No hotel found
408,xinyi,CN,22.373,110.9475,77,兰欧酒店(信宜绍秀体育馆店)
409,east ballina,AU,-28.8667,153.5833,50,Ballina Beach Resort
411,west bay,KY,19.3667,-81.4167,86,Bonnie's Arch
412,remire-montjoly,GF,4.9167,-52.2667,94,Complexe Belova
414,pitimbu,BR,-7.4706,-34.8086,83,Pousada Brisa Mar
415,puerto baquerizo moreno,EC,-0.9,-89.6,89,Dory's House
416,jingdezhen,CN,29.2947,117.2079,88,文苑商务大酒店
417,dambatta,NG,12.433,8.5154,62,No hotel found
419,anton lizardo,MX,19.05,-95.9833,87,Hotel CocoAventura
420,saint-philippe,RE,-21.3585,55.7679,82,Le Baril
423,paracuru,BR,-3.41,-39.0306,91,Vento Brasil
425,totness,SR,5.8833,-56.3167,87,No hotel found
426,tongouson,PH,5.0214,120.1328,70,No hotel found
432,yeppoon,AU,-23.1333,150.7333,60,Blossom's on Seaspray
433,yusufeli,TR,40.8204,41.5443,70,Şehitler Tepesi Oteli
437,cururupu,BR,-1.8283,-44.8683,100,No hotel found
438,boende,CD,-0.2167,20.8667,73,Hotel Reference
